Symbol	Entrez GeneID	U2OS	HeLa-Whitfield	Foreskin fibroblasts	HaCaT	Total # of datasets
KNTC2	10403	Yes	yes	Yes	Yes	4
TACC3	10460	Yes	yes	Yes	Yes	4
SPAG5	10615	Yes	yes	Yes	Yes	4
POLD3	10714	Yes	yes	Yes	Yes	4
BRD8	10902	Yes	yes	Yes	Yes	4
KIF2C	11004	Yes	yes	Yes	Yes	4
UBE2C	11065	Yes	yes	Yes	Yes	4
TPX2	22974	Yes	yes	Yes	Yes	4
PASK	23178	Yes	yes	Yes	Yes	4
ARL6IP	23204	Yes	yes	Yes	Yes	4
HSPB8	26353	Yes	yes	Yes	Yes	4
CKAP2	26586	Yes	yes	Yes	Yes	4
UBE2S	27338	Yes	yes	Yes	Yes	4
GPSM2	29899	Yes	yes	Yes	Yes	4
NUSAP1	51203	Yes	yes	Yes	Yes	4
GTSE1	51512	Yes	yes	Yes	Yes	4
DTL	51514	Yes	yes	Yes	Yes	4
SLC38A2	54407	Yes	yes	Yes	Yes	4
FAM64A	54478	Yes	yes	Yes	Yes	4
AHI1	54806	Yes	yes	Yes	Yes	4
NDE1	54820	Yes	yes	Yes	Yes	4
FLJ20516	54962	Yes	yes	Yes	Yes	4
CDCA8	55143	Yes	yes	Yes	Yes	4
C14orf130	55148	Yes	yes	Yes	Yes	4
C10orf3	55165	Yes	yes	Yes	Yes	4
DKFZp762E1312	55355	Yes	yes	Yes	Yes	4
PBK	55872	Yes	yes	Yes	Yes	4
GPR126	57211	Yes	yes	Yes	Yes	4
DCC1	79075	Yes	yes	Yes	Yes	4
SHCBP1	79801	Yes	yes	Yes	Yes	4
C9orf76	80010	Yes	yes	Yes	Yes	4
Cep70	80321	Yes	yes	Yes	Yes	4
ANP32E	81611	Yes	yes	Yes	Yes	4
CDCA3	83461	Yes	yes	Yes	Yes	4
ARHGAP19	84986	Yes	yes	Yes	Yes	4
BRCA1	672	Yes	yes	Yes	No	3
CD97	976	Yes	yes	Yes	No	3
CDKN2D	1032	Yes	yes	Yes	No	3
DDX11	1663	Yes	yes	Yes	No	3
DHFR	1719	Yes	yes	Yes	No	3
GOT1	2805	Yes	yes	Yes	No	3
HELLS	3070	Yes	yes	Yes	No	3
MCM4	4173	Yes	yes	Yes	No	3
MSH2	4436	Yes	yes	Yes	No	3
NPAT	4863	Yes	yes	Yes	No	3
ORC1L	4998	Yes	yes	Yes	No	3
DNAJC3	5611	Yes	yes	Yes	No	3
RAD21	5885	Yes	yes	Yes	No	3
RBBP8	5932	Yes	yes	Yes	No	3
SDC1	6382	Yes	yes	Yes	No	3
SMTN	6525	Yes	yes	Yes	No	3
TMPO	7112	Yes	yes	Yes	No	3
TXNRD1	7296	Yes	yes	Yes	No	3
CDC45L	8318	Yes	yes	Yes	No	3
RAD54L	8438	Yes	yes	Yes	No	3
PKMYT1	9088	Yes	yes	Yes	No	3
KIAA0101	9768	Yes	yes	Yes	No	3
KIAA0586	9786	Yes	yes	Yes	No	3
CASP8AP2	9994	Yes	yes	Yes	No	3
SMC4L1	10051	Yes	yes	Yes	No	3
ARL4	10124	Yes	yes	Yes	No	3
WDR68	10238	Yes	yes	Yes	No	3
IVNS1ABP	10625	Yes	yes	Yes	No	3
MAN1A2	10905	Yes	yes	Yes	No	3
CIT	11113	Yes	yes	Yes	No	3
C1orf73	25896	Yes	yes	Yes	No	3
ATAD2	29028	Yes	yes	Yes	No	3
DONSON	29980	Yes	yes	Yes	No	3
HN1	51155	Yes	yes	Yes	No	3
TUBD1	51174	Yes	yes	Yes	No	3
FZR1	51343	Yes	yes	Yes	No	3
C6orf139	55166	Yes	yes	Yes	No	3
NEIL3	55247	Yes	yes	Yes	No	3
C14orf106	55320	Yes	yes	Yes	No	3
C10orf6	55719	Yes	yes	Yes	No	3
FLJ11029	55771	Yes	yes	Yes	No	3
CLSPN	63967	Yes	yes	Yes	No	3
NUP37	79023	Yes	yes	Yes	No	3
MLF1IP	79682	Yes	yes	Yes	No	3
E2F8	79733	Yes	yes	Yes	No	3
FLJ22624	79866	Yes	yes	Yes	No	3
ACYP1	97	Yes	Yes	No	No	2
ADCY6	112	Yes	Yes	No	No	2
KLF9	687	Yes	Yes	No	No	2
RUNX1	861	Yes	Yes	No	No	2
KLF6	1316	Yes	Yes	No	No	2
GADD45A	1647	Yes	Yes	No	No	2
DSP	1832	Yes	Yes	No	No	2
HSF2	3298	Yes	Yes	No	No	2
HSPA1L	3305	Yes	Yes	No	No	2
HSPA8	3312	Yes	Yes	No	No	2
DNAJB1	3337	Yes	Yes	No	No	2
KIF5B	3799	Yes	Yes	No	No	2
MNT	4335	Yes	Yes	No	No	2
NFIA	4774	Yes	Yes	No	No	2
PKNOX1	5316	Yes	Yes	No	No	2
PSMD11	5717	Yes	Yes	No	No	2
RGS3	5998	Yes	Yes	No	No	2
RHEB	6009	Yes	Yes	No	No	2
SFRS5	6430	Yes	Yes	No	No	2
TLOC1	7095	Yes	Yes	No	No	2
TOP1	7150	Yes	Yes	No	No	2
TOP3A	7156	Yes	Yes	No	No	2
UBE2D3	7323	Yes	Yes	No	No	2
NCOA3	8202	Yes	Yes	No	No	2
HIST1H2AM	8336	Yes	Yes	No	No	2
HIST2H2BE	8349	Yes	Yes	No	No	2
HIST1H4B	8366	Yes	Yes	No	No	2
HIST1H4E	8367	Yes	Yes	No	No	2
OGT	8473	Yes	Yes	No	No	2
LMO4	8543	Yes	Yes	No	No	2
CFLAR	8837	Yes	Yes	No	No	2
PCAF	8850	Yes	Yes	No	No	2
PSCD2	9266	Yes	Yes	No	No	2
SLC25A27	9481	Yes	Yes	No	No	2
TUBB2	10383	Yes	Yes	No	No	2
BAIAP2	10458	Yes	Yes	No	No	2
SYNCRIP	10492	Yes	Yes	No	No	2
RNPS1	10921	Yes	Yes	No	No	2
AP3M2	10947	Yes	Yes	No	No	2
DNAJB4	11080	Yes	Yes	No	No	2
KATNA1	11104	Yes	Yes	No	No	2
NUDT4	11163	Yes	Yes	No	No	2
KIAA0182	23199	Yes	Yes	No	No	2
RC3	23312	Yes	Yes	No	No	2
HSPC157	29092	Yes	Yes	No	No	2
HCNGP	29115	Yes	Yes	No	No	2
UHRF1	29128	Yes	Yes	No	No	2
UBQLN2	29978	Yes	Yes	No	No	2
HSPC196	51524	Yes	Yes	No	No	2
DKFZP434A0131	54441	Yes	Yes	No	No	2
FLJ11127	54491	Yes	Yes	No	No	2
USP53	54532	Yes	Yes	No	No	2
FLJ20364	54908	Yes	Yes	No	No	2
C6orf166	55122	Yes	Yes	No	No	2
C11orf23	55291	Yes	Yes	No	No	2
PLCXD1	55344	Yes	Yes	No	No	2
RAM2	55536	Yes	Yes	No	No	2
FLJ10980	56204	Yes	Yes	No	No	2
TULP4	56995	Yes	Yes	No	No	2
LOC57168	57168	Yes	Yes	No	No	2
KIAA1524	57650	Yes	Yes	No	No	2
FLJ22313	64224	Yes	Yes	No	No	2
ARL6IP2	64225	Yes	Yes	No	No	2
CDH24	64403	Yes	Yes	No	No	2
FLJ13231	65250	Yes	Yes	No	No	2
ZSCAN5	79149	Yes	Yes	No	No	2
PANK2	80025	Yes	Yes	No	No	2
C20orf55	83541	Yes	Yes	No	No	2
C9orf100	84904	Yes	Yes	No	No	2
ZNF587	84914	Yes	Yes	No	No	2
MASTL	84930	Yes	Yes	No	No	2
HIST3H2A	92815	Yes	Yes	No	No	2
AP2B1	163	Yes	No	Yes	No	2
ASPH	444	Yes	No	Yes	No	2
CASP2	835	Yes	No	Yes	No	2
EVI2A	2123	Yes	No	Yes	No	2
FOSL2	2355	Yes	No	Yes	No	2
GCLC	2729	Yes	No	Yes	No	2
GLI3	2737	Yes	No	Yes	No	2
IGF1R	3480	Yes	No	Yes	No	2
PEX13	5194	Yes	No	Yes	No	2
PLAU	5328	Yes	No	Yes	No	2
PRKD1	5587	Yes	No	Yes	No	2
PRPS2	5634	Yes	No	Yes	No	2
RAD1	5810	Yes	No	Yes	No	2
RAB27A	5873	Yes	No	Yes	No	2
SP1	6667	Yes	No	Yes	No	2
WEE1	7465	Yes	No	Yes	No	2
YEATS4	8089	Yes	No	Yes	No	2
HIST2H2AA	8337	Yes	No	Yes	No	2
HIST2H4	8370	Yes	No	Yes	No	2
KLF11	8462	Yes	No	Yes	No	2
RPS6KA5	9252	Yes	No	Yes	No	2
STK17B	9262	Yes	No	Yes	No	2
PIG8	9702	Yes	No	Yes	No	2
KIAA0738	9747	Yes	No	Yes	No	2
GIT2	9815	Yes	No	Yes	No	2
LCMT2	9836	Yes	No	Yes	No	2
MBNL2	10150	Yes	No	Yes	No	2
PLK4	10733	Yes	No	Yes	No	2
CEP1	11064	Yes	No	Yes	No	2
PSIP1	11168	Yes	No	Yes	No	2
WDHD1	11169	Yes	No	Yes	No	2
TREX1	11277	Yes	No	Yes	No	2
ICMT	23463	Yes	No	Yes	No	2
BRD4	23476	Yes	No	Yes	No	2
PITPNC1	26207	Yes	No	Yes	No	2
CABYR	26256	Yes	No	Yes	No	2
FBXO5	26271	Yes	No	Yes	No	2
FANCL	55120	Yes	No	Yes	No	2
TMEM48	55706	Yes	No	Yes	No	2
TDP1	55775	Yes	No	Yes	No	2
EAF2	55840	Yes	No	Yes	No	2
MCFP	55972	Yes	No	Yes	No	2
MDM1	56890	Yes	No	Yes	No	2
C1GALT1	56913	Yes	No	Yes	No	2
BBX	56987	Yes	No	Yes	No	2
FLJ22794	63901	Yes	No	Yes	No	2
DCLRE1B	64858	Yes	No	Yes	No	2
FN3KRP	79672	Yes	No	Yes	No	2
TTLL7	79739	Yes	No	Yes	No	2
C17orf41	79915	Yes	No	Yes	No	2
MYOHD1	80179	Yes	No	Yes	No	2
DKFZP434F0318	81575	Yes	No	Yes	No	2
VANGL1	81839	Yes	No	Yes	No	2
TMEM47	83604	Yes	No	Yes	No	2
BRIP1	83990	Yes	No	Yes	No	2
PAQR4	124222	Yes	No	Yes	No	2
KLHL23	151230	Yes	No	Yes	No	2
AMD1	262	Yes	Yes	No	Yes	3
CDC27	996	Yes	Yes	No	Yes	3
CDKN3	1033	Yes	Yes	No	Yes	3
CDR2	1039	Yes	Yes	No	Yes	3
CTNND1	1500	Yes	Yes	No	Yes	3
EIF4E	1977	Yes	Yes	No	Yes	3
HMGCR	3156	Yes	Yes	No	Yes	3
HRB	3267	Yes	Yes	No	Yes	3
INSR	3643	Yes	Yes	No	Yes	3
NUP98	4928	Yes	Yes	No	Yes	3
PDGFA	5154	Yes	Yes	No	Yes	3
RAD51	5888	Yes	Yes	No	Yes	3
TGIF	7050	Yes	Yes	No	Yes	3
ZNF207	7756	Yes	Yes	No	Yes	3
PTP4A1	7803	Yes	Yes	No	Yes	3
DNCL1	8655	Yes	Yes	No	Yes	3
ZNF265	9406	Yes	Yes	No	Yes	3
ADAMTS1	9510	Yes	Yes	No	Yes	3
BAG3	9531	Yes	Yes	No	Yes	3
DZIP3	9666	Yes	Yes	No	Yes	3
DNAJB6	10049	Yes	Yes	No	Yes	3
JARID1B	10765	Yes	Yes	No	Yes	3
TOB2	10766	Yes	Yes	No	Yes	3
BTBD3	22903	Yes	Yes	No	Yes	3
ANKRD25	25959	Yes	Yes	No	Yes	3
WSB1	26118	Yes	Yes	No	Yes	3
HP1-BP74	50809	Yes	Yes	No	Yes	3
ZBTB7	51341	Yes	Yes	No	Yes	3
HDCMA18P	51574	Yes	Yes	No	Yes	3
ANLN	54443	Yes	Yes	No	Yes	3
KCTD9	54793	Yes	Yes	No	Yes	3
KIAA1333	55632	Yes	Yes	No	Yes	3
DEPDC1B	55789	Yes	Yes	No	Yes	3
ZMYM1	79830	Yes	Yes	No	Yes	3
C15orf20	80119	Yes	Yes	No	Yes	3
TRIM45	80263	Yes	Yes	No	Yes	3
C20orf129	81610	Yes	Yes	No	Yes	3
CDCA1	83540	Yes	Yes	No	Yes	3
C15orf23	90417	Yes	Yes	No	Yes	3
BIRC3	330	Yes	No	Yes	Yes	3
CASP6	839	Yes	No	Yes	Yes	3
CDC2	983	Yes	No	Yes	Yes	3
ECT2	1894	Yes	No	Yes	Yes	3
MSH6	2956	Yes	No	Yes	Yes	3
TM4SF1	4071	Yes	No	Yes	Yes	3
MCM3	4172	Yes	No	Yes	Yes	3
NFYB	4801	Yes	No	Yes	Yes	3
STK6	6790	Yes	No	Yes	Yes	3
ASK	10926	Yes	No	Yes	Yes	3
OIP5	11339	Yes	No	Yes	Yes	3
KIF4A	24137	Yes	No	Yes	Yes	3
CNNM3	26505	Yes	No	Yes	Yes	3
RACGAP1	29127	Yes	No	Yes	Yes	3
CROP	51747	Yes	No	Yes	Yes	3
RSBN1	54665	Yes	No	Yes	Yes	3
MCM10	55388	Yes	No	Yes	Yes	3
DEPDC1	55635	Yes	No	Yes	Yes	3
KIF15	56992	Yes	No	Yes	Yes	3
CLK4	57396	Yes	No	Yes	Yes	3
HCAP-G	64151	Yes	No	Yes	Yes	3
DCLRE1C	64421	Yes	No	Yes	Yes	3
WDR76	79968	Yes	No	Yes	Yes	3
DRF1	80174	Yes	No	Yes	Yes	3
C8orf20	80346	Yes	No	Yes	Yes	3
KIF18A	81930	Yes	No	Yes	Yes	3
PSRC1	84722	Yes	No	Yes	Yes	3
WDR67	93594	Yes	No	Yes	Yes	3
ASPM	259266	Yes	No	Yes	Yes	3
ANK3	288	Yes	No	No	Yes	2
ANXA3	306	Yes	No	No	Yes	2
KLF5	688	Yes	No	No	Yes	2
SERPINH1	871	Yes	No	No	Yes	2
CCND3	896	Yes	No	No	Yes	2
CHEK1	1111	Yes	No	No	Yes	2
COL4A4	1286	Yes	No	No	Yes	2
CSNK1D	1453	Yes	No	No	Yes	2
DDX10	1662	Yes	No	No	Yes	2
DSIPI	1831	Yes	No	No	Yes	2
ERN1	2081	Yes	No	No	Yes	2
FANCE	2178	Yes	No	No	Yes	2
ACSL3	2181	Yes	No	No	Yes	2
ACSL4	2182	Yes	No	No	Yes	2
MKNK2	2872	Yes	No	No	Yes	2
HNRPH3	3189	Yes	No	No	Yes	2
DNAJA1	3301	Yes	No	No	Yes	2
HSPA1A	3303	Yes	No	No	Yes	2
JUNB	3726	Yes	No	No	Yes	2
JUND	3727	Yes	No	No	Yes	2
LAMC1	3915	Yes	No	No	Yes	2
LDLR	3949	Yes	No	No	Yes	2
LGALS8	3964	Yes	No	No	Yes	2
MAT2A	4144	Yes	No	No	Yes	2
MATN1	4146	Yes	No	No	Yes	2
MLLT2	4299	Yes	No	No	Yes	2
NOTCH2	4853	Yes	No	No	Yes	2
NRF1	4899	Yes	No	No	Yes	2
PLD1	5337	Yes	No	No	Yes	2
PMAIP1	5366	Yes	No	No	Yes	2
PPP1CB	5500	Yes	No	No	Yes	2
PPP1CC	5501	Yes	No	No	Yes	2
PPP2R5C	5527	Yes	No	No	Yes	2
PPP3CB	5532	Yes	No	No	Yes	2
PRKCB1	5579	Yes	No	No	Yes	2
PTPN13	5783	Yes	No	No	Yes	2
PVRL2	5819	Yes	No	No	Yes	2
RABIF	5877	Yes	No	No	Yes	2
RNF4	6047	Yes	No	No	Yes	2
RPL28	6158	Yes	No	No	Yes	2
SEC14L1	6397	Yes	No	No	Yes	2
SMPD1	6609	Yes	No	No	Yes	2
SNAPC1	6617	Yes	No	No	Yes	2
SURF6	6838	Yes	No	No	Yes	2
TAF4	6874	Yes	No	No	Yes	2
TAF7	6879	Yes	No	No	Yes	2
TCF19	6941	Yes	No	No	Yes	2
TJP1	7082	Yes	No	No	Yes	2
TNFAIP2	7127	Yes	No	No	Yes	2
TRAF3	7187	Yes	No	No	Yes	2
UBE2D1	7321	Yes	No	No	Yes	2
UBE2G1	7326	Yes	No	No	Yes	2
UBTF	7343	Yes	No	No	Yes	2
ZNF24	7572	Yes	No	No	Yes	2
ZNF165	7718	Yes	No	No	Yes	2
ZNF202	7753	Yes	No	No	Yes	2
MAFK	7975	Yes	No	No	Yes	2
MLL2	8085	Yes	No	No	Yes	2
HMGA2	8091	Yes	No	No	Yes	2
ARHN	8153	Yes	No	No	Yes	2
FZD7	8324	Yes	No	No	Yes	2
BCAR3	8412	Yes	No	No	Yes	2
DYRK2	8445	Yes	No	No	Yes	2
NUMB	8650	Yes	No	No	Yes	2
EIF3S1	8669	Yes	No	No	Yes	2
SNAP23	8773	Yes	No	No	Yes	2
TAF1A	9015	Yes	No	No	Yes	2
MTMR6	9107	Yes	No	No	Yes	2
DLGAP1	9229	Yes	No	No	Yes	2
CDYL	9425	Yes	No	No	Yes	2
MRC2	9902	Yes	No	No	Yes	2
CLECSF2	9976	Yes	No	No	Yes	2
KIF20A	10112	Yes	No	No	Yes	2
STX6	10228	Yes	No	No	Yes	2
NET1	10276	Yes	No	No	Yes	2
GC20	10289	Yes	No	No	Yes	2
ZNF267	10308	Yes	No	No	Yes	2
FAM3C	10447	Yes	No	No	Yes	2
COG5	10466	Yes	No	No	Yes	2
FST	10468	Yes	No	No	Yes	2
HIS1	10614	Yes	No	No	Yes	2
NUP50	10762	Yes	No	No	Yes	2
CLPX	10845	Yes	No	No	Yes	2
WDR3	10885	Yes	No	No	Yes	2
TLK2	11011	Yes	No	No	Yes	2
DUSP10	11221	Yes	No	No	Yes	2
KIAA0924	22834	Yes	No	No	Yes	2
RPIA	22934	Yes	No	No	Yes	2
KIN	22944	Yes	No	No	Yes	2
KIAA0582	23177	Yes	No	No	Yes	2
RCOR1	23186	Yes	No	No	Yes	2
PTDSR	23210	Yes	No	No	Yes	2
RRS1	23212	Yes	No	No	Yes	2
FNBP4	23360	Yes	No	No	Yes	2
FRAT2	23401	Yes	No	No	Yes	2
UNC84B	25777	Yes	No	No	Yes	2
DKFZP434F2021	25871	Yes	No	No	Yes	2
SENP6	26054	Yes	No	No	Yes	2
C19orf13	26065	Yes	No	No	Yes	2
SACS	26278	Yes	No	No	Yes	2
TBL2	26608	Yes	No	No	Yes	2
ZBTB11	27107	Yes	No	No	Yes	2
SLCO4A1	28231	Yes	No	No	Yes	2
SLCO1B3	28234	Yes	No	No	Yes	2
HUMGT198A	29893	Yes	No	No	Yes	2
SLC25A24	29957	Yes	No	No	Yes	2
SUV420H1	51111	Yes	No	No	Yes	2
WBP5	51186	Yes	No	No	Yes	2
BFAR	51283	Yes	No	No	Yes	2
HSPC111	51491	Yes	No	No	Yes	2
SIX4	51804	Yes	No	No	Yes	2
RIN2	54453	Yes	No	No	Yes	2
PLEKHA5	54477	Yes	No	No	Yes	2
DKFZP761M1511	54492	Yes	No	No	Yes	2
FLJ20485	54517	Yes	No	No	Yes	2
MAGEL2	54551	Yes	No	No	Yes	2
PARP14	54625	Yes	No	No	Yes	2
FLJ20729	54680	Yes	No	No	Yes	2
FLJ20245	54863	Yes	No	No	Yes	2
FLJ20582	54989	Yes	No	No	Yes	2
FLJ10099	55069	Yes	No	No	Yes	2
C14orf103	55102	Yes	No	No	Yes	2
FLJ10276	55108	Yes	No	No	Yes	2
MNS1	55329	Yes	No	No	Yes	2
PNRC2	55629	Yes	No	No	Yes	2
ZNF313	55905	Yes	No	No	Yes	2
AD-020	56900	Yes	No	No	Yes	2
SAS10	57050	Yes	No	No	Yes	2
AF15Q14	57082	Yes	No	No	Yes	2
Spc25	57405	Yes	No	No	Yes	2
HEG	57493	Yes	No	No	Yes	2
182-FIP	57532	Yes	No	No	Yes	2
KIAA1609	57707	Yes	No	No	Yes	2
RAP2C	57826	Yes	No	No	Yes	2
NIF3L1	60491	Yes	No	No	Yes	2
APBA2BP	63941	Yes	No	No	Yes	2
MOAP1	64112	Yes	No	No	Yes	2
C9orf88	64855	Yes	No	No	Yes	2
METTL4	64863	Yes	No	No	Yes	2
RNF26	79102	Yes	No	No	Yes	2
MGC2941	79142	Yes	No	No	Yes	2
PLEKHF1	79156	Yes	No	No	Yes	2
C7orf23	79161	Yes	No	No	Yes	2
NOX5	79400	Yes	No	No	Yes	2
FLJ13213	79811	Yes	No	No	Yes	2
APOL6	80830	Yes	No	No	Yes	2
CDT1	81620	Yes	No	No	Yes	2
MGC2714	84259	Yes	No	No	Yes	2
FLJ14936	84950	Yes	No	No	Yes	2
NAV2	89797	Yes	No	No	Yes	2
TP53RK	112858	Yes	No	No	Yes	2
GLCCI1	113263	Yes	No	No	Yes	2
FBXO32	114907	Yes	No	No	Yes	2
ZMYND19	116225	Yes	No	No	Yes	2
MGC17791	126282	Yes	No	No	Yes	2
NUP35	129401	Yes	No	No	Yes	2
FLJ30655	132320	Yes	No	No	Yes	2
NCOA7	135112	Yes	No	No	Yes	2
BTBD14A	138151	Yes	No	No	Yes	2
E2F7	144455	Yes	No	No	Yes	2
FLJ40629	150468	Yes	No	No	Yes	2
ALS2CR13	150864	Yes	No	No	Yes	2
SGOL2	151246	Yes	No	No	Yes	2
CDCA2	157313	Yes	No	No	Yes	2
FLJ25402	157773	Yes	No	No	Yes	2
DCP2	167227	Yes	No	No	Yes	2
FLJ32915	219844	Yes	No	No	Yes	2
MGC29649	283237	Yes	No	No	Yes	2
GAS2L3	283431	Yes	No	No	Yes	2
ZADH2	284273	Yes	No	No	Yes	2
LOC403313	403313	Yes	No	No	Yes	2
AADAC	13	Yes	No	No	No	1
ACACA	31	Yes	No	No	No	1
ACCN2	41	Yes	No	No	No	1
ADCY1	107	Yes	No	No	No	1
ADORA2B	136	Yes	No	No	No	1
ADRB2	154	Yes	No	No	No	1
AP2A2	161	Yes	No	No	No	1
AP1G1	164	Yes	No	No	No	1
AFG3L1	172	Yes	No	No	No	1
NR0B1	190	Yes	No	No	No	1
AHNAK	195	Yes	No	No	No	1
AMPH	273	Yes	No	No	No	1
BIN1	274	Yes	No	No	No	1
AMY2B	280	Yes	No	No	No	1
ANGPT2	285	Yes	No	No	No	1
SLC25A5	292	Yes	No	No	No	1
ANXA1	301	Yes	No	No	No	1
AREG	374	Yes	No	No	No	1
RHOB	388	Yes	No	No	No	1
ATF3	467	Yes	No	No	No	1
ATP1B1	481	Yes	No	No	No	1
ATP2A2	488	Yes	No	No	No	1
B2M	567	Yes	No	No	No	1
BAI1	575	Yes	No	No	No	1
BAI3	577	Yes	No	No	No	1
BBS4	585	Yes	No	No	No	1
BCL2	596	Yes	No	No	No	1
BCL6	604	Yes	No	No	No	1
BCL7A	605	Yes	No	No	No	1
BDKRB1	623	Yes	No	No	No	1
CEACAM1	634	Yes	No	No	No	1
BMP7	655	Yes	No	No	No	1
BPGM	669	Yes	No	No	No	1
BRCA2	675	Yes	No	No	No	1
PTTG1IP	754	Yes	No	No	No	1
CA2	760	Yes	No	No	No	1
CACNA1C	775	Yes	No	No	No	1
CALD1	800	Yes	No	No	No	1
CALM2	805	Yes	No	No	No	1
CALU	813	Yes	No	No	No	1
CAMK4	814	Yes	No	No	No	1
CBFB	865	Yes	No	No	No	1
CBLB	868	Yes	No	No	No	1
CCIN	881	Yes	No	No	No	1
CD3Z	919	Yes	No	No	No	1
SIGLEC6	946	Yes	No	No	No	1
CDH10	1008	Yes	No	No	No	1
CDH18	1016	Yes	No	No	No	1
CDKN1A	1026	Yes	No	No	No	1
CDKN1C	1028	Yes	No	No	No	1
CDO1	1036	Yes	No	No	No	1
CEBPA	1050	Yes	No	No	No	1
CHC1L	1102	Yes	No	No	No	1
CHKA	1119	Yes	No	No	No	1
CISH	1154	Yes	No	No	No	1
AP1S1	1174	Yes	No	No	No	1
CLCN2	1181	Yes	No	No	No	1
CLK1	1195	Yes	No	No	No	1
CLTC	1213	Yes	No	No	No	1
CCR7	1236	Yes	No	No	No	1
PLK3	1263	Yes	No	No	No	1
COL4A1	1282	Yes	No	No	No	1
COX7B	1349	Yes	No	No	No	1
CPA3	1359	Yes	No	No	No	1
CPM	1368	Yes	No	No	No	1
CREBL2	1389	Yes	No	No	No	1
CRIP2	1397	Yes	No	No	No	1
CSPG4	1464	Yes	No	No	No	1
CSTF1	1477	Yes	No	No	No	1
CTNNA1	1495	Yes	No	No	No	1
CTNNB1	1499	Yes	No	No	No	1
CTRL	1506	Yes	No	No	No	1
CTSK	1513	Yes	No	No	No	1
CTSZ	1522	Yes	No	No	No	1
CXADR	1525	Yes	No	No	No	1
CYP1A1	1543	Yes	No	No	No	1
DBC1	1620	Yes	No	No	No	1
DDIT3	1649	Yes	No	No	No	1
DLG1	1739	Yes	No	No	No	1
DLX4	1748	Yes	No	No	No	1
DRD2	1813	Yes	No	No	No	1
DTNA	1837	Yes	No	No	No	1
DTR	1839	Yes	No	No	No	1
DUSP1	1843	Yes	No	No	No	1
DUSP6	1848	Yes	No	No	No	1
DUT	1854	Yes	No	No	No	1
E2F2	1870	Yes	No	No	No	1
EDA	1896	Yes	No	No	No	1
