Gene Symbol	RefSeq ID	p-value_columnar_vs_junction	Fold-Change_columnar_vs_junction	p-value_columnar_vs_squamous	Fold-Change_columnar_vs_squamous	p-value_junction_vs_squamous	Fold-Change_junction_vs_squamous
XAF1	NM_017523	0,267891	2,63292	0,243399	2,78875	0,944544	1,05919
CT45A5	NM_001007551	0,259873	2,49711	0,251813	2,54128	0,981758	1,01769
hCG_2039148	AK075204	0,256271	2,57622	0,348688	2,1524	0,819579	-1,19691
ACSM2B	NM_182617	0,399516	2,61995	0,270596	3,62875	0,769481	1,38505
TCEAL6	NM_001006938	0,35039	2,1614	0,310117	2,32523	0,926669	1,0758
CRNN	NM_016190	0,216622	1,09604	6,99E-09	-21,3588	5,86E-09	-23,4102
DSG1	NM_001942	0,534156	-1,06712	1,08E-08	-68,0917	1,19E-08	-63,8087
MUC21	NM_001010909	0,0537561	1,2168	2,14E-08	-22,9669	1,49E-08	-27,9461
CRABP2	NM_001878	0,47678	1,07249	2,08E-08	-34,5818	1,85E-08	-37,0886
TMPRSS11D	NM_004262	0,163629	1,17187	2,43E-08	-42,1205	1,89E-08	-49,3597
KRTDAP	NM_207392	0,0475591	1,38541	4,31E-08	-86,636	2,83E-08	-120,027
CSTA	NM_005213	0,172327	-1,26042	4,06E-08	-169,168	5,35E-08	-134,216
SPINK5	NM_001127698	0,437809	-1,13817	4,62E-08	-187,52	5,37E-08	-164,756
SBSN	NM_198538	0,490042	-1,09026	5,70E-08	-45,3814	6,53E-08	-41,6244
KRT4	NM_002272	0,514372	1,07987	6,73E-08	-33,1296	5,91E-08	-35,7756
DSC2	NM_004949	0,682609	1,05355	8,26E-08	-40,6106	7,60E-08	-42,7855
TPRG1	NM_198485	0,242703	-1,10638	1,10E-07	-9,64627	1,45E-07	-8,71874
GJB6	NM_001110219	0,311537	-1,1623	1,39E-07	-44,7988	1,77E-07	-38,5432
SPRR2A	NM_005988	0,022014	-1,8871	1,60E-07	-284,854	3,25E-07	-150,948
SERPINB13	NM_012397	0,804555	-1,04579	2,43E-07	-81,6913	2,59E-07	-78,1144
A2ML1	NM_144670	0,525728	1,10813	2,90E-07	-43,1881	2,47E-07	-47,8581
TMPRSS11A	NM_182606	0,986005	-1,0028	4,19E-07	-34,8416	4,21E-07	-34,7443
EMP1	NM_001423	0,305052	-1,22036	3,72E-07	-67,1625	4,96E-07	-55,0352
KRT13	NM_153490	0,288439	1,31098	5,33E-07	-178,274	3,94E-07	-233,713
ABI3BP	NM_015429	0,352614	-1,06513	5,05E-07	-4,09176	6,62E-07	-3,84158
KLK11	NM_144947	0,465513	-1,06758	5,56E-07	-6,40911	6,88E-07	-6,00337
TRIM29	NM_012101	0,0755274	-1,27998	5,33E-07	-12,9928	9,71E-07	-10,1508
DSG3	NM_001944	0,631915	1,10857	8,21E-07	-69,0247	7,12E-07	-76,5188
RHCG	NM_016321	0,445896	1,13739	8,89E-07	-25,2279	7,05E-07	-28,6939
KRT14	NM_000526	0,0830881	-1,34657	8,01E-07	-19,7196	1,49E-06	-14,6443
GBP6	NM_198460	0,512409	1,11016	1,63E-06	-15,9889	1,31E-06	-17,7502
GRHL3	NM_198173	0,851567	1,01748	1,61E-06	-5,1601	1,51E-06	-5,2503
GJB2	NM_004004	0,544717	-1,15684	1,63E-06	-66,1293	2,00E-06	-57,1637
CNFN	NM_032488	0,106405	1,38625	2,81E-06	-18,0893	1,50E-06	-25,0762
TMPRSS11B	NM_182502	0,672637	1,08452	2,15E-06	-24,9961	1,86E-06	-27,1088
TP63	NM_003722	0,881036	-1,0223	2,19E-06	-11,9524	2,30E-06	-11,6917
CLCA2	NM_006536	0,658977	-1,06529	2,39E-06	-10,573	2,80E-06	-9,925
DSP	NM_004415	0,488684	-1,15624	2,55E-06	-29,0588	3,30E-06	-25,1321
CAPZA1	NM_006135	0,0800222	-1,34164	2,85E-06	-10,4325	6,27E-06	-7,77589
CAST	NM_001750	0,00248742	-1,97669	2,23E-06	-10,9371	1,59E-05	-5,53305
tcag7.1260	NM_001080538	0,515735	1,14463	5,23E-06	-19,3481	4,03E-06	-22,1463
SPRR1A	NM_005987	0,889329	-1,05091	5,00E-06	-185,081	5,28E-06	-176,114
KRT6A	NM_005554	0,177809	-1,75382	4,05E-06	-338,15	7,33E-06	-192,808
SCEL	NM_144777	0,076051	-1,48438	4,11E-06	-18,3735	9,66E-06	-12,3779
TPD52L1	NM_001003395	0,0319061	-1,21588	3,77E-06	-3,08039	1,15E-05	-2,53347
IL1RN	NM_173842	0,017041	-1,57487	3,71E-06	-9,30461	1,40E-05	-5,90816
PPP1R3C	NM_005398	0,700069	-1,1	5,88E-06	-33,1276	6,91E-06	-30,1159
ACPP	NM_001099	0,774414	1,02256	7,17E-06	-2,90845	6,35E-06	-2,97406
KRT1	NM_006121	0,826444	1,05994	7,89E-06	-36,1733	7,18E-06	-38,3417
SERPINB4	NM_002974	0,00104797	-3,35507	3,56E-06	-27,5137	4,99E-05	-8,20064
S100A9	NM_002965	0,0398132	-1,85227	5,20E-06	-35,6135	1,57E-05	-19,2269
LYPD3	NM_014400	0,353395	1,16067	1,05E-05	-7,33802	6,86E-06	-8,51701
PPL	NM_002705	0,0698439	-1,29571	5,63E-06	-5,80427	1,43E-05	-4,4796
RAB10	NM_016131	0,083254	-1,28191	6,29E-06	-5,78774	1,53E-05	-4,51493
SERPINB1	NM_030666	0,00258616	-2,22961	4,51E-06	-12,3915	4,19E-05	-5,55769
IL18	NM_001562	0,168845	-1,29643	7,24E-06	-10,7845	1,42E-05	-8,31864
PRDM1	NM_001198	0,415173	-1,13359	8,29E-06	-7,43125	1,21E-05	-6,55551
MAFB	NM_005461	0,0984491	1,1377	1,62E-05	-2,27842	6,94E-06	-2,59215
STMN1	NM_203401	0,0213735	-1,29713	5,93E-06	-3,48237	2,31E-05	-2,68467
GPR87	NM_023915	0,427083	-1,11591	8,78E-06	-5,95907	1,27E-05	-5,34008
NDUFA4L2	NM_020142	0,057234	1,27203	1,95E-05	-3,4519	6,92E-06	-4,39093
MAL	NM_002371	0,435065	1,1564	1,29E-05	-9,5195	8,99E-06	-11,0083
ERO1L	NM_014584	0,0667386	-1,3937	7,61E-06	-8,24211	2,06E-05	-5,91382
MTSS1	NM_014751	0,3407	1,13748	1,47E-05	-4,84924	9,33E-06	-5,51589
GRHL1	NM_014552	0,160512	1,2559	1,73E-05	-5,78637	8,51E-06	-7,26707
JUP	NM_002230	0,742452	-1,04142	1,10E-05	-4,82134	1,28E-05	-4,62961
NCKAP1	NM_013436	0,00401447	-1,43676	6,30E-06	-3,24149	5,32E-05	-2,2561
PLD1	NM_002662	0,031687	-1,29957	8,02E-06	-3,75558	2,89E-05	-2,88986
IL20RB	NM_144717	0,798424	1,05576	1,44E-05	-13,2964	1,28E-05	-14,0378
POF1B	NM_024921	0,809777	1,02813	1,49E-05	-4,0394	1,33E-05	-4,15302
KLK13	NM_015596	0,964728	-1,00837	1,45E-05	-9,96536	1,48E-05	-9,88264
LY6D	NM_003695	0,564898	1,0534	1,85E-05	-2,83422	1,39E-05	-2,98557
KRT6B	NM_005555	0,635866	1,18431	1,81E-05	-63,6398	1,44E-05	-75,3693
KAT2B	NM_003884	0,21608	-1,17089	1,23E-05	-4,44895	2,35E-05	-3,79962
S100A12	NM_005621	0,625776	-1,09486	1,50E-05	-9,30895	1,90E-05	-8,50238
RIOK3	NM_003831	0,00832617	-1,61882	9,22E-06	-5,54902	6,20E-05	-3,42781
FLJ21511	NM_025087	0,716767	-1,04583	1,66E-05	-4,32088	1,99E-05	-4,13151
KRT16	NM_005557	0,722102	-1,11351	1,77E-05	-34,6315	2,11E-05	-31,1013
GALNT5	NM_014568	0,248879	-1,20808	1,47E-05	-6,54923	2,71E-05	-5,42118
RAB38	NM_022337	0,449277	-1,1033	1,70E-05	-4,49884	2,51E-05	-4,07763
KRT15	NM_002275	0,905022	-1,03972	2,04E-05	-42,6168	2,17E-05	-40,9888
HMGCS1	NM_001098272	0,0721765	-1,54219	1,44E-05	-12,5752	4,25E-05	-8,15409
KRT5	NM_000424	0,194836	-1,46961	1,70E-05	-26,1414	3,52E-05	-17,7881
TALDO1	NM_006755	0,0378989	1,2673	5,46E-05	-2,46505	1,43E-05	-3,12396
PRDX6	NM_004905	0,00569014	-2,28005	1,20E-05	-13,185	0,000109233	-5,78279
ZNF185	NM_007150	0,963259	1,00644	2,58E-05	-4,6621	2,51E-05	-4,69212
EPGN	NM_001013442	0,750868	1,08032	2,79E-05	-14,0127	2,36E-05	-15,1383
SAMD9	NM_017654	0,00446256	-1,67081	1,26E-05	-4,53516	0,000135771	-2,71435
TM4SF1	NM_014220	0,0676546	-2,11085	1,68E-05	-64,1928	5,25E-05	-30,4109
AHNAK2	NM_138420	0,157768	-1,27511	1,92E-05	-6,20017	4,38E-05	-4,86245
IVL	NM_005547	0,52234	-1,20119	2,33E-05	-23,6196	3,29E-05	-19,6635
TUFT1	NM_020127	0,988094	1,00228	3,09E-05	-5,13976	3,06E-05	-5,1515
RAB11A	NM_004663	0,0150936	-2,01622	1,63E-05	-13,3881	9,95E-05	-6,64019
ELL2	NM_012081	0,968301	-1,00472	3,06E-05	-3,56541	3,12E-05	-3,54865
FRMD6	NM_001042481	0,3745	-1,19442	2,55E-05	-8,46905	4,21E-05	-7,09048
SPRR3	NM_005416	0,61851	-1,2226	2,89E-05	-75,4376	3,80E-05	-61,7027
AIF1L	NM_031426	0,454144	1,10957	4,35E-05	-3,92101	2,85E-05	-4,35064
TMOD3	NM_014547	0,220941	-1,24914	2,54E-05	-6,55236	5,24E-05	-5,24549
UBA6	NM_018227	0,0272523	-1,30655	2,00E-05	-3,02857	9,74E-05	-2,31798
CAPZB	NM_004930	0,00708772	-1,50492	1,77E-05	-3,50587	0,000167568	-2,3296
KCTD3	NM_016121	0,0443014	-1,22983	2,28E-05	-2,61066	9,14E-05	-2,12278
RANBP9	NM_005493	0,0384648	-1,5535	2,27E-05	-7,12378	9,70E-05	-4,58564
ABLIM1	NM_002313	0,824307	-1,03319	3,75E-05	-4,5652	4,25E-05	-4,41856
CLCA4	NM_012128	0,829105	1,06619	4,27E-05	-20,0466	3,78E-05	-21,3734
MREG	NM_018000	0,932019	-1,00919	3,98E-05	-2,99882	4,18E-05	-2,97151
HMGCR	NM_000859	0,675612	1,07533	4,68E-05	-5,5551	3,69E-05	-5,97356
SFN	NM_006142	0,923956	-1,02052	4,05E-05	-8,77479	4,28E-05	-8,59837
BLNK	NM_013314	0,553934	-1,10195	3,63E-05	-5,36957	5,11E-05	-4,87278
CRISP3	NM_006061	0,479966	-1,25603	3,62E-05	-26,7509	5,46E-05	-21,298
FAM162A	NM_014367	0,883103	1,02222	4,89E-05	-4,37466	4,49E-05	-4,47187
COL17A1	NM_000494	0,829438	-1,02354	4,75E-05	-2,91745	5,38E-05	-2,85035
PVRL1	NM_002855	0,113196	1,19003	9,71E-05	-2,35568	3,38E-05	-2,80334
PPP2CA	NM_002715	0,00202646	-1,97669	2,34E-05	-4,64664	0,000623484	-2,35072
FAM135A	NM_001105531	0,0298188	-1,52057	3,07E-05	-5,21865	0,000161643	-3,43204
HCRP1	AY465895	0,00615319	-1,73818	2,66E-05	-4,63414	0,000330924	-2,66609
S100A8	NM_002964	0,00419729	-6,77984	2,62E-05	-135,334	0,000421561	-19,9612
CPEB2	NM_182485	0,298768	-1,17613	4,38E-05	-4,47307	8,41E-05	-3,8032
DHRS1	NM_001136050	0,0584606	-1,24592	3,51E-05	-2,79853	0,000137386	-2,24616
WNK1	NM_018979	0,737741	-1,05621	5,44E-05	-4,83525	6,66E-05	-4,57794
PVRL4	NM_030916	0,592849	1,04545	7,22E-05	-2,1325	5,22E-05	-2,22941
PLS3	NM_005032	0,66595	-1,10223	5,66E-05	-8,61574	7,37E-05	-7,81667
CRCT1	NM_019060	0,64964	1,10099	7,58E-05	-6,82342	5,74E-05	-7,5125
ECM1	NM_004425	0,870078	1,02965	7,55E-05	-5,12553	6,82E-05	-5,27753
EGFR	NM_005228	0,866279	1,0137	7,94E-05	-2,08036	7,15E-05	-2,10886
TGM1	NM_000359	0,158481	1,33476	0,000132483	-4,70805	5,03E-05	-6,28411
LASS3	NM_178842	0,438851	-1,15519	6,10E-05	-5,61083	0,000100069	-4,85705
CLCN3	NM_173872	0,0237588	-1,39375	4,03E-05	-3,24149	0,000261045	-2,32574
RNF11	NM_014372	0,500294	-1,08193	6,45E-05	-2,93788	9,92E-05	-2,7154
S100A7	NM_002963	0,760472	-1,13097	7,19E-05	-40,9726	8,71E-05	-36,2278
DSC3	NM_024423	0,77262	-1,11167	7,25E-05	-28,9789	8,68E-05	-26,068
P11	NM_006025	0,386886	-1,13066	7,07E-05	-3,56479	0,000125501	-3,15284
RND3	NM_005168	0,0693882	-1,86562	5,53E-05	-17,2558	0,000222084	-9,24937
CEACAM7	NM_006890	0,0269276	-1,75748	5,02E-05	-7,28747	0,00032613	-4,14655
ESRP1	NM_017697	0,086353	-1,38377	5,86E-05	-4,86413	0,000213575	-3,51514
AQP3	NM_004925	0,825128	-1,04432	9,16E-05	-5,65888	0,000105635	-5,41873
PKP1	NM_000299	0,146577	1,29848	0,000183148	-3,58763	6,42E-05	-4,65846
EREG	NM_001432	0,459422	1,2022	0,000137797	-7,38182	8,39E-05	-8,87446
CMAS	NM_018686	0,110781	-1,32333	6,55E-05	-4,33467	0,00021559	-3,27557
CLIC3	NM_004669	0,630577	1,08799	0,000128499	-4,24736	9,34E-05	-4,62108
KLF4	NM_004235	0,155715	-1,39423	7,25E-05	-7,16116	0,000204739	-5,13627
S100A14	NM_020672	0,656591	-1,12986	0,000101448	-10,6496	0,000136667	-9,42561
PERP	NM_022121	0,0335901	-2,71155	6,22E-05	-36,2695	0,000382531	-13,3759
KRT10	NM_000421	0,692205	-1,14045	0,000103832	-17,3479	0,000135353	-15,2114
EPHA6	NM_001080448	0,574916	-1,06051	9,97E-05	-2,46069	0,000145658	-2,32029
SPRR1B	NM_003125	0,916094	-1,04607	0,000115615	-37,6695	0,000124025	-36,0103
SF3B14	NM_016047	0,00459582	-1,73156	5,47E-05	-3,53166	0,00125455	-2,03959
FDXACB1	NM_138378	0,785459	-1,14415	0,000112925	-66,9954	0,000135582	-58,5545
PELI1	NM_020651	0,0327409	-1,89561	6,73E-05	-9,53464	0,000430794	-5,02985
IL13RA1	NM_001560	0,00898536	-1,55866	6,09E-05	-3,18385	0,000874583	-2,04268
LEPREL1	NM_018192	0,936017	1,00956	0,000135329	-2,6594	0,000128178	-2,68482
PPP2R2A	NM_002717	0,00916732	-2,02724	6,52E-05	-6,23693	0,000953469	-3,07656
FGFBP1	NM_005130	0,0216228	-2,67419	7,05E-05	-21,8431	0,000591521	-8,16813
RASAL2	NM_170692	0,0914313	1,34972	0,000322509	-3,00154	8,40E-05	-4,05123
METAP2	NM_006838	0,0855963	-1,27386	8,70E-05	-2,99256	0,000349147	-2,34921
TACC2	NM_206862	0,232385	1,13739	0,000248997	-2,11193	0,000102573	-2,40209
CALCOCO2	NM_005831	0,440508	-1,0761	0,000116815	-2,19176	0,000202141	-2,03676
ANKRD22	NM_144590	0,797913	-1,05123	0,000141426	-4,92288	0,000168974	-4,68296
CLIP4	NM_024692	0,129937	-1,32805	9,71E-05	-4,37757	0,000318652	-3,29623
CAMSAP1	NM_015447	0,240118	-1,15986	0,000108948	-2,7664	0,000262149	-2,38512
RAB22A	NM_020673	0,0576755	-1,42451	8,88E-05	-4,06021	0,000446073	-2,85025
SPINK7	NM_032566	0,559111	-1,2702	0,000132357	-28,2933	0,000200302	-22,2747
LUZP6	NM_001128619	0,699962	-1,10796	0,00014121	-8,71994	0,00018511	-7,87025
VSNL1	NM_003385	0,598243	-1,19051	0,000139346	-14,6548	0,000202644	-12,3097
NMU	NM_006681	0,516101	1,11967	0,000214814	-3,66271	0,000134879	-4,10104
TMEM45A	NM_018004	0,779036	1,075	0,000185449	-7,42221	0,00015219	-7,97887
SERPINB2	NM_001143818	0,780205	1,10377	0,000188379	-15,5464	0,000154686	-17,1596
GCOM1	NM_001018090	0,580418	1,10665	0,000212685	-3,96224	0,00014319	-4,38481
KLF6	NM_001300	0,583894	-1,10457	0,000146733	-4,29798	0,000217443	-3,89109
KLK10	NM_002776	0,20854	1,17412	0,000313904	-2,32239	0,000119167	-2,72677
NDRG1	NM_001135242	0,0716321	-1,80955	0,000102424	-11,6527	0,000472614	-6,43955
STRN	NM_003162	0,513472	-1,09591	0,000145752	-3,06607	0,000234224	-2,79773
HSPC159	NM_014181	0,166791	-1,56819	0,000116939	-12,5125	0,000347068	-7,97891
GM2A	NM_000405	0,586665	-1,10627	0,00015212	-4,40352	0,00022524	-3,98051
NAGK	NM_017567	0,570256	1,07262	0,000230707	-2,49241	0,00015292	-2,6734
GNAI1	NM_002069	0,633162	-1,07306	0,00015827	-3,23567	0,000223333	-3,01537
COBLL1	NM_014900	0,223837	1,19177	0,000322942	-2,59004	0,000126316	-3,08674
SLK	NM_014720	0,916639	1,02331	0,000202198	-5,42285	0,00018755	-5,54925
NDFIP2	NM_019080	0,0213907	-1,59402	9,61E-05	-3,97527	0,000918582	-2,49387
MUC15	NM_001135091	0,351327	1,24482	0,000290103	-5,08404	0,000143938	-6,32872
TOX4	NM_014828	0,00675227	-1,73356	8,90E-05	-3,52743	0,00196671	-2,03479
SLC12A6	NM_001042496	0,566003	-1,10503	0,000170282	-3,89123	0,000259998	-3,52139
RICS	NM_001142685	0,773367	1,03221	0,00023719	-2,26764	0,000192164	-2,34067
DUSP11	NM_003584	0,195228	1,16595	0,000390849	-2,11342	0,000139372	-2,46414
HSPA4L	NM_014278	0,314285	-1,20783	0,000154132	-4,24646	0,0003342	-3,51577
INPP1	NM_001128928	0,303779	-1,19279	0,000154764	-3,73384	0,00034246	-3,13033
DOCK9	NM_001130048	0,980079	-1,00419	0,000221273	-3,54118	0,000225362	-3,52642
TRIP10	NM_004240	0,0509502	1,32419	0,000720672	-2,07873	0,000121515	-2,75265
TRPS1	NM_014112	0,0804351	-1,50087	0,000133699	-5,29865	0,000618406	-3,53039
DMKN	NM_033317	0,066919	1,39134	0,000685418	-2,57621	0,000132935	-3,58438
HPGD	NR_027332	0,282375	-1,33809	0,000167674	-7,71448	0,00039137	-5,76527
MAL2	NM_052886	0,0274878	-2,09581	0,000120985	-9,42744	0,00106777	-4,49823
SQRDL	NM_021199	0,0181644	-1,94105	0,000117793	-6,15824	0,00137664	-3,17263
ACTN4	NM_004924	0,959636	1,00704	0,000259276	-2,76687	0,000249642	-2,78634
KIAA1468	NM_020854	0,753689	-1,05884	0,00023755	-3,87249	0,000301252	-3,6573
PTPN13	NM_080683	0,0930023	-1,42932	0,000157342	-4,4802	0,000695722	-3,1345
LMO4	NM_006769	0,77745	-1,03894	0,000249574	-2,70779	0,000309456	-2,60631
CNN3	NM_001839	0,10847	-1,53288	0,000166884	-6,54718	0,000682488	-4,27116
KLK12	NM_145894	0,55175	1,17781	0,000370193	-6,44362	0,000233173	-7,58932
CSNK1A1	NM_001025105	0,00566595	-2,13547	0,000130658	-4,77463	0,00429369	-2,23587
KRT78	NM_173352	0,582337	-1,09989	0,000240784	-3,56634	0,000369085	-3,24244
PHACTR2	NM_001100164	0,790897	-1,04172	0,000272501	-3,0608	0,000334235	-2,93822
CLDN1	NM_021101	0,03934	-1,98485	0,000154534	-8,9831	0,00117186	-4,52584
SERPINB5	NM_002639	0,593691	-1,24897	0,000249504	-20,9782	0,000378175	-16,7965
SQLE	NM_003129	0,465834	-1,15696	0,000235046	-4,30416	0,000418362	-3,72024
RAET1E	NM_139165	0,146037	-1,24105	0,000189204	-2,85305	0,00066561	-2,2989
KRT2	NM_000423	0,941065	1,01894	0,000322518	-5,99891	0,000304618	-6,11255
DAAM1	NM_014992	0,402405	-1,20685	0,000235021	-5,08794	0,000460119	-4,21587
SASH1	NM_015278	0,224885	1,2119	0,000592758	-2,54569	0,00021369	-3,08514
B3GNT5	NM_032047	0,34336	-1,37927	0,000233371	-11,4716	0,000505009	-8,31713
ME1	NM_002395	0,0964511	-1,49018	0,000187615	-5,17754	0,00084815	-3,47445
PGM2	NM_018290	0,194134	-1,28815	0,000213168	-3,95196	0,000646289	-3,06794
NUAK2	NM_030952	0,354998	1,15458	0,000517559	-2,63138	0,000243065	-3,03814
GSDMC	NM_031415	0,909957	-1,02362	0,000325161	-4,28151	0,000355232	-4,18271
KCTD1	NM_001142730	0,962752	-1,00817	0,000333796	-3,39505	0,000346208	-3,36753
UBE2G1	NM_003342	0,0924325	-1,55409	0,000196442	-5,89914	0,000922735	-3,79587
VAPA	NM_003574	0,00741264	-2,17132	0,000159696	-5,12481	0,00461203	-2,36023
CSTB	NM_000100	0,0678026	-1,47337	0,000192425	-4,08784	0,00109471	-2,77447
MBOAT2	NM_138799	0,247843	-1,304	0,000236892	-5,0238	0,000629492	-3,8526
TP53AIP1	NM_022112	0,910915	1,01541	0,000376103	-2,55317	0,00034433	-2,59251
SCD	NM_005063	0,611348	-1,20483	0,000299884	-13,3728	0,00045029	-11,0993
CD24	NM_013230	0,0700591	-1,9746	0,000203596	-11,8612	0,00115287	-6,00688
PRRG4	NM_024081	0,583758	-1,11191	0,000307958	-3,89596	0,000479147	-3,50386
GALNT1	NM_020474	0,0284277	-1,84926	0,00018543	-5,71197	0,00189268	-3,08879
VPS26A	NM_004896	0,0296881	-1,85978	0,000188148	-5,89742	0,00187127	-3,17103
CLDND1	NM_001040199	0,432112	-1,22093	0,000289855	-5,92424	0,00055346	-4,85222
CST6	NM_001323	0,0367292	-1,76689	0,000197723	-5,5316	0,00171942	-3,1307
RAB25	NM_020387	0,473279	-1,23834	0,000310909	-7,92605	0,000561729	-6,40052
SLC39A2	NM_014579	0,203079	1,29807	0,000803865	-3,10902	0,000262535	-4,03571
C3orf58	NM_173552	0,63848	1,06819	0,000514837	-2,46084	0,000350853	-2,62864
ZNF770	NM_014106	0,0802655	-1,31787	0,000230923	-2,79212	0,00124054	-2,11866
TMEM154	NM_152680	0,85626	1,03869	0,00045506	-4,00154	0,000393037	-4,15634
PPIF	NM_005729	0,594025	-1,0737	0,000349708	-2,49988	0,00054182	-2,32829
BNIPL	NM_001159642	0,13162	1,29961	0,00102123	-2,43849	0,000255043	-3,16909
SH3RF2	NM_152550	0,739558	-1,0568	0,000384291	-3,09752	0,000504137	-2,93103
ARNTL2	NM_020183	0,281429	-1,20509	0,000296613	-3,24779	0,000752777	-2,69505
MID1	NM_000381	0,218858	-1,16993	0,000288323	-2,35967	0,000856066	-2,01693
PPP1R7	NM_002712	0,257533	-1,23328	0,000298455	-3,4939	0,000802866	-2,83302
SMC4	NM_005496	0,097509	-1,2781	0,000256549	-2,61106	0,00124854	-2,04292
ATP11B	NM_014616	0,440693	-1,15476	0,000345409	-3,54946	0,000662434	-3,07376
RACGAP1	NM_013277	0,286948	-1,16256	0,000313207	-2,59534	0,000791272	-2,23243
